restaurant_id,total_orders,revenue,avg_rating,avg_preparation_time,cancellation_rate,avg_delivery_time
R00001,209,148583.76,3.4144144144144146,34.79144385026738,6.698564593301436,52.98930481283423
R00002,208,149475.28,3.5454545454545454,35.10215053763441,5.769230769230769,51.66129032258065
R00003,199,141752.46,3.247191011235955,42.71345029239766,10.552763819095476,56.3859649122807
R00004,182,145040.44,3.56,31.269461077844312,6.593406593406594,49.964071856287426
R00005,200,136788.24,3.8130841121495327,24.631284916201118,7.5,47.659217877094974
R00006,206,155316.68,3.7410714285714284,23.166666666666668,4.854368932038835,47.28125
R00007,192,140028.85,2.618181818181818,59.20454545454545,7.291666666666667,66.8409090909091
R00008,211,142244.41,3.080357142857143,49.78947368421053,6.161137440758294,60.01578947368421
R00009,191,143958.7,3.7641509433962264,23.115606936416185,5.2356020942408374,45.578034682080926
R00010,200,135983.7,2.8529411764705883,53.672413793103445,7.000000000000001,61.7816091954023
R00011,200,155322.48,3.5495495495495497,34.941489361702125,4.5,51.558510638297875
R00012,195,139832.26,2.7339449541284404,54.889502762430936,4.615384615384616,62.69060773480663
R00013,199,158494.43,2.5575221238938055,60.07103825136612,5.527638190954774,66.40437158469945
R00014,204,150184.36000000002,2.7777777777777777,58.413978494623656,6.862745098039216,64.28494623655914
R00015,189,141653.19,3.3535353535353534,36.029411764705884,5.291005291005291,53.141176470588235
R00016,205,147314.85,3.0089285714285716,48.956989247311824,5.853658536585367,59.79032258064516
R00017,196,142995.69,3.9401709401709404,13.822857142857142,7.653061224489796,41.41142857142857
R00018,166,135288.85,3.8383838383838382,18.00653594771242,5.421686746987952,43.673202614379086
R00019,224,159815.25,3.3684210526315788,36.34825870646766,7.5892857142857135,54.85572139303483
R00020,204,148307.33,2.707547169811321,52.224043715846996,5.88235294117647,61.03825136612022
R00021,209,163403.4,3.0535714285714284,47.98941798941799,6.698564593301436,58.77777777777778
R00022,214,160025.68,3.7410714285714284,24.373684210526317,6.074766355140187,47.83684210526316
R00023,216,140492.89,3.4313725490196076,33.84656084656085,8.333333333333332,50.53439153439153
R00024,208,145891.77,3.669724770642202,27.067039106145252,9.134615384615383,48.039106145251395
R00025,213,156287.85,3.4,38.80904522613066,5.164319248826291,53.38693467336683
R00026,212,147989.54,3.16260162601626,46.28191489361702,8.018867924528301,57.77127659574468
R00027,184,128594.25,3.5934065934065935,25.8159509202454,7.065217391304348,48.31901840490798
R00028,207,146630.78,3.7410714285714284,20.57068062827225,4.830917874396135,46.33507853403141
R00029,207,149216.3,3.6574074074074074,26.005434782608695,7.729468599033816,47.34782608695652
R00030,188,137886.14,3.4591836734693877,34.166666666666664,6.914893617021277,52.19642857142857
R00031,211,163135.76,3.7394957983193278,23.963541666666668,6.161137440758294,46.979166666666664
R00032,189,160007.78,3.4343434343434343,33.80790960451977,4.232804232804233,50.26553672316384
R00033,211,152664.21,3.622047244094488,28.901041666666668,6.161137440758294,49.119791666666664
R00034,197,140622.43,3.7327586206896552,27.855555555555554,5.0761421319796955,48.4
R00035,202,137109.75,3.4752475247524752,33.38068181818182,9.405940594059405,52.14772727272727
R00036,219,163548.25,3.963302752293578,16.115183246073297,9.58904109589041,44.225130890052355
R00037,193,130261.44,3.7954545454545454,20.633540372670808,11.398963730569948,45.80124223602485
R00038,212,149528.56,2.6491228070175437,58.52307692307692,4.245283018867925,65.16410256410256
R00039,177,139724.25,3.193877551020408,47.91772151898734,8.47457627118644,57.67088607594937
R00040,243,162722.16,3.7355371900826446,20.252380952380953,9.053497942386832,45.65714285714286
R00041,219,166158.55,3.1478260869565218,41.94358974358974,6.392694063926941,54.53333333333333
R00042,182,136197.03,2.5806451612903225,58.06060606060606,6.593406593406594,64.60606060606061
R00043,210,148253.15,3.5348837209302326,34.13368983957219,7.142857142857142,52.49197860962567
R00044,190,130305.01,3.0754716981132075,47.93142857142857,5.7894736842105265,57.925714285714285
R00045,220,157507.97,3.259259259259259,42.41326530612245,7.727272727272727,56.19897959183673
R00046,201,139769.77,3.8440366972477062,20.29050279329609,8.45771144278607,44.89385474860335
R00047,172,121129.09,3.753086419753086,24.625806451612902,6.395348837209303,45.41290322580645
R00048,208,150388.59,3.138888888888889,41.423280423280424,6.25,55.597883597883595
R00049,194,137517.83,3.8155339805825244,24.08235294117647,10.309278350515463,47.48235294117647
R00050,202,147276.57,2.9357798165137616,49.14207650273224,6.435643564356436,57.9344262295082
R00051,223,159222.73,3.8134328358208953,24.21078431372549,6.278026905829597,47.122549019607845
R00052,181,120621.16,3.8482142857142856,16.84375,7.734806629834254,44.1
R00053,196,143863.34,3.185185185185185,46.05142857142857,9.183673469387756,58.011428571428574
R00054,189,136255.73,2.8055555555555554,49.08,4.232804232804233,60.76571428571429
R00055,185,132512.67,4.021052631578947,12.694610778443113,6.486486486486487,40.26946107784431
R00056,197,141370.42,4.0,15.063953488372093,9.644670050761421,41.61046511627907
R00057,191,138092.95,3.010752688172043,44.805882352941175,6.806282722513089,55.77647058823529
R00058,220,157679.64,3.0813008130081303,48.66502463054187,5.909090909090909,58.275862068965516
R00059,198,129832.38,3.320388349514563,47.23295454545455,9.090909090909092,56.63636363636363
R00060,204,154680.31,3.3333333333333335,37.57446808510638,5.392156862745098,52.962765957446805
R00061,199,128483.4,3.5686274509803924,30.433526011560694,10.050251256281408,50.16763005780347
R00062,187,144837.24,3.1262135922330097,46.49142857142857,5.347593582887701,58.857142857142854
R00063,191,133322.42,3.952830188679245,14.734104046242775,7.329842931937172,41.57225433526011
R00064,177,129279.43,3.694736842105263,26.81132075471698,6.214689265536723,48.069182389937104
R00065,193,143783.1,3.891891891891892,20.105555555555554,5.181347150259067,43.55555555555556
R00066,203,144725.33,3.920353982300885,17.082872928176794,7.389162561576355,41.51933701657459
R00067,189,134084.92,3.5816326530612246,28.28235294117647,5.82010582010582,50.752941176470586
R00068,206,156157.38,3.7551020408163267,20.320652173913043,6.796116504854369,45.83152173913044
R00069,197,145738.13,3.4741379310344827,36.0,6.598984771573605,51.65340909090909
R00070,208,155519.64,3.5258620689655173,38.72680412371134,3.3653846153846154,53.56701030927835
R00071,206,142973.88,3.310924369747899,34.258426966292134,11.165048543689322,53.96067415730337
R00072,193,142917.88,2.643478260869565,60.55428571428571,6.7357512953367875,64.94285714285714
R00073,189,138871.13,3.4144144144144146,27.88372093023256,5.82010582010582,50.901162790697676
R00074,204,140918.37,3.876190476190476,12.5625,10.294117647058822,44.77840909090909
R00075,210,161832.79,2.9523809523809526,50.67179487179487,5.238095238095238,59.76923076923077
R00076,182,128933.65,3.3048780487804876,48.70552147239264,6.593406593406594,56.99386503067485
R00077,210,157876.01,2.8623853211009176,53.61578947368421,8.095238095238095,61.64736842105263
R00078,199,136364.01,3.896551724137931,12.271676300578035,10.552763819095476,41.28901734104046
R00079,192,133255.11,3.892857142857143,16.264705882352942,7.291666666666667,44.43529411764706
R00080,206,158682.26,2.675213675213675,59.88775510204081,3.3980582524271843,64.2295918367347
R00081,211,155089.6,3.2857142857142856,40.19072164948454,6.161137440758294,55.108247422680414
R00082,195,142198.74,3.3142857142857145,41.29142857142857,8.205128205128204,56.30285714285714
R00083,188,138085.91,3.898989898989899,20.35928143712575,8.51063829787234,44.70059880239521
R00084,192,143756.87,3.085714285714286,48.423529411764704,7.8125,57.470588235294116
R00085,191,136009.66,3.0454545454545454,49.52023121387283,7.329842931937172,58.9364161849711
R00086,177,141493.67,2.924731182795699,54.70253164556962,7.909604519774012,62.677215189873415
R00087,208,141429.34,3.9285714285714284,21.73224043715847,7.211538461538461,45.84699453551912
R00088,206,167324.18,3.841666666666667,19.14814814814815,5.339805825242718,44.560846560846564
R00089,174,134463.01,2.872093023255814,57.875,9.195402298850574,62.4078947368421
R00090,182,136225.0,3.2872340425531914,46.50595238095238,4.945054945054945,56.607142857142854
R00091,226,175047.81,3.582608695652174,30.102439024390243,5.752212389380531,49.28780487804878
R00092,178,125204.47,3.5294117647058822,29.9079754601227,3.3707865168539324,49.09815950920245
R00093,212,163640.34,3.80327868852459,22.695876288659793,7.547169811320755,45.74226804123711
R00094,196,152959.72,3.6310679611650487,32.625698324022345,5.612244897959184,50.815642458100555
R00095,206,145842.21,3.0408163265306123,49.3463687150838,9.223300970873787,58.77653631284916
R00096,205,149659.27,3.8446601941747574,16.613259668508288,7.317073170731707,43.92265193370166
R00097,184,141970.63,4.066666666666666,14.229411764705882,6.521739130434782,40.51764705882353
R00098,211,156534.84,3.933333333333333,15.157894736842104,9.004739336492891,43.21052631578947
R00099,201,137525.13999999998,3.01980198019802,48.22346368715084,7.462686567164178,58.59217877094972
R00100,209,151958.11000000002,3.2,43.810526315789474,6.698564593301436,56.89473684210526
R00101,189,132588.58,3.673469387755102,18.303571428571427,8.994708994708994,45.43452380952381
R00102,183,141558.56,2.871287128712871,51.373493975903614,6.557377049180328,61.855421686746986
R00103,182,133171.07,4.11578947368421,12.06060606060606,6.593406593406594,39.67878787878788
R00104,196,134076.86000000002,2.9541284403669725,47.57627118644068,6.63265306122449,61.19774011299435
R00105,214,160732.48,3.5714285714285716,27.984615384615385,7.476635514018691,49.07179487179487
R00106,214,159514.42,3.9669421487603307,15.6,7.009345794392523,39.4974358974359
R00107,184,130767.49,3.3518518518518516,41.130434782608695,7.065217391304348,56.27329192546584
R00108,195,128529.43000000001,3.5392156862745097,21.54913294797688,7.179487179487179,47.5606936416185
R00109,212,153302.33,2.953271028037383,48.06382978723404,8.962264150943396,59.20744680851064
R00110,172,134718.89,2.9583333333333335,48.75316455696203,5.813953488372093,57.29113924050633
R00111,213,156310.03,3.5,30.177083333333332,6.572769953051644,49.932291666666664
R00112,189,131702.52,3.061224489795918,46.0,6.878306878306878,57.7710843373494
R00113,196,143379.93,3.8877551020408165,21.758426966292134,5.1020408163265305,44.88202247191011
R00114,199,161063.88,3.923076923076923,15.811827956989248,3.5175879396984926,44.284946236559136
R00115,195,146659.8,3.4948453608247423,24.112994350282484,6.666666666666667,48.59887005649718
R00116,174,122924.11,3.4835164835164836,29.662337662337663,8.045977011494253,50.48701298701299
R00117,194,147499.15,3.39,30.596685082872927,4.639175257731959,50.56353591160221
R00118,178,129496.64,2.989130434782609,36.987096774193546,10.112359550561797,55.458064516129035
R00119,203,148248.57,3.0720720720720722,44.7379679144385,4.433497536945813,56.9572192513369
R00120,197,140223.69,3.6608695652173915,25.9,4.568527918781726,49.08888888888889
R00121,177,124668.95999999999,2.8823529411764706,54.33766233766234,11.299435028248588,61.753246753246756
R00122,214,155277.45,3.849557522123894,16.63917525773196,7.009345794392523,43.07216494845361
R00123,184,139113.91,3.53,32.64242424242424,7.608695652173914,49.84848484848485
R00124,208,158869.66,2.7735849056603774,53.3068783068783,6.730769230769231,61.43386243386244
R00125,194,137261.35,3.5576923076923075,31.270114942528735,6.701030927835052,49.62643678160919
R00126,218,149829.53,3.685185185185185,18.913265306122447,7.79816513761468,43.775510204081634
R00127,178,142692.07,3.763440860215054,27.527272727272727,4.49438202247191,47.763636363636365
R00128,172,124264.53,3.9797979797979797,12.542483660130719,6.976744186046512,41.150326797385624
R00129,204,146620.25,3.7586206896551726,20.903954802259886,7.8431372549019605,45.943502824858754
R00130,205,162902.12,2.881818181818182,55.010471204188484,3.902439024390244,61.12041884816754
R00131,213,151251.24,2.896551724137931,48.252631578947366,7.511737089201878,58.59473684210526
R00132,221,162780.57,2.657142857142857,59.18274111675127,8.144796380090497,65.4771573604061
R00133,179,132057.65,3.539325842696629,30.48076923076923,10.614525139664805,49.833333333333336
R00134,205,143807.79,2.9649122807017543,51.47727272727273,10.731707317073171,60.70454545454545
R00135,199,142217.33,3.5568181818181817,30.672514619883042,7.537688442211055,51.707602339181285
R00136,190,143682.3,2.8969072164948453,51.23121387283237,6.842105263157896,61.68208092485549
R00137,232,177239.8,3.434108527131783,30.75,6.0344827586206895,50.842592592592595
R00138,195,143103.65,3.8421052631578947,15.171597633136095,7.6923076923076925,43.828402366863905
R00139,207,140825.7,2.80188679245283,55.04812834224599,7.246376811594203,64.16042780748663
R00140,191,131515.95,3.3,46.39766081871345,6.806282722513089,56.07017543859649
R00141,204,147325.53,3.5390625,28.73936170212766,6.372549019607843,51.04255319148936
R00142,178,133547.22,3.9518072289156625,15.572327044025156,6.179775280898876,42.21383647798742
R00143,183,136329.8,3.7476635514018692,18.427710843373493,7.103825136612022,44.596385542168676
R00144,205,157451.96,3.3486238532110093,37.89673913043478,8.780487804878048,54.15760869565217
R00145,211,161119.23,2.9916666666666667,47.035714285714285,4.265402843601896,59.65816326530612
